测站点,观测方向,观测类型,观测值,测站高,棱镜高,站点序号(平差),目标序号(平差) 
p2,p1,Vertical,1.568959259,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174542018,0.288500011,0.29,1,0
p2,p1,Vertical,1.568931124,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174545578,0.288500011,0.29,1,0
p2,p1,Vertical,1.568948474,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174533237,0.288500011,0.29,1,0
p2,p1,Vertical,1.568933628,0.288500011,0.29,1,0
p2,p1,Sdist,43.37892502,0.288500011,0.29,1,0
p2,p1,Hz,0.174542912,0.288500011,0.29,1,0
p2,p1,Vertical,1.568946993,0.288500011,0.29,1,0
p2,p1,Sdist,43.37892502,0.288500011,0.29,1,0
p2,p1,Hz,0.17454276,0.288500011,0.29,1,0
p2,p1,Vertical,1.568926792,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174541209,0.288500011,0.29,1,0
p2,p1,Vertical,1.56894335,0.288500011,0.29,1,0
p2,p1,Sdist,43.37892502,0.288500011,0.29,1,0
p2,p1,Hz,0.174536528,0.288500011,0.29,1,0
p2,p1,Vertical,1.568942166,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174542846,0.288500011,0.29,1,0
p2,p1,Vertical,1.568935537,0.288500011,0.29,1,0
p2,p1,Sdist,43.37872502,0.288500011,0.29,1,0
p2,p1,Hz,0.174548642,0.288500011,0.29,1,0
p2,p1,Vertical,1.568936841,0.288500011,0.29,1,0
p2,p1,Sdist,43.37892502,0.288500011,0.29,1,0
p2,p1,Hz,0.174542848,0.288500011,0.29,1,0
p2,p1,Vertical,1.568935768,0.288500011,0.29,1,0
p2,p1,Sdist,43.37882502,0.288500011,0.29,1,0
p2,p1,Hz,0.174544296,0.288500011,0.29,1,0
p2,p1,Vertical,1.568941204,0.288500011,0.29,1,0
p2,p1,Sdist,43.37872502,0.288500011,0.29,1,0
